Date Time,,Z(1) S. T,Z(2) B. E, Z(3) B. RH, Z(4) B.CO2
11/23/18 21:59,,311.07,143.06,11.25,1293
11/23/18 21:59,,310.95,143.16,11.31,1284
11/23/18 21:59,,310.87,143.34,11.32,1280
11/23/18 21:59,,310.77,143.4,11.32,1277
11/23/18 21:59,,310.65,143.38,11.34,1276
11/23/18 21:59,,310.56,143.45,11.37,1274
11/23/18 21:59,,310.35,143.58,11.45,1272
11/23/18 21:59,,310.32,143.87,11.45,1269
11/23/18 21:59,,310.17,143.95,11.46,1265
11/23/18 21:59,,310.12,143.98,11.47,1262
11/23/18 21:59,,309.99,144.04,11.49,1258
11/23/18 21:59,,309.85,144.04,11.5,1256
11/23/18 21:59,,309.77,144.02,11.5,1249
11/23/18 21:59,,309.58,143.96,11.5,1243
11/23/18 21:59,,309.5,143.88,11.49,1237
11/23/18 21:59,,309.33,143.8,11.49,1232
11/23/18 21:59,,309.12,143.76,11.5,1227
11/23/18 21:59,,309.02,143.69,11.51,1224
11/23/18 21:59,,308.98,143.63,11.53,1222
11/23/18 21:59,,308.89,143.77,11.56,1217
11/23/18 21:59,,308.79,143.89,11.58,1214
11/23/18 21:59,,308.58,143.99,11.62,1211
11/23/18 21:59,,308.52,144.1,11.63,1211
11/23/18 21:59,,308.44,144.09,11.65,1203
11/23/18 21:59,,308.35,144.22,11.67,1200
11/23/18 21:59,,308.21,144.26,11.67,1197
11/23/18 21:59,,308.07,144.23,11.67,1195
11/23/18 21:58,,307.9,144.16,11.67,1194
11/23/18 21:58,,307.79,144.1,11.68,1194
11/23/18 21:58,,307.74,144.09,11.69,1192
11/23/18 21:58,,307.67,144.1,11.7,1191
11/23/18 21:58,,307.57,144.13,11.75,1191
11/23/18 21:58,,307.33,144.18,11.78,1190
11/23/18 21:58,,307.2,144.33,11.8,1189
11/23/18 21:58,,307.04,144.5,11.81,1187
11/23/18 21:58,,306.97,144.55,11.82,1185
11/23/18 21:58,,306.66,144.55,11.86,1177
11/23/18 21:58,,306.54,144.6,11.86,1174
11/23/18 21:58,,306.43,144.65,11.86,1171
11/23/18 21:58,,306.29,144.56,11.86,1167
11/23/18 21:58,,306.23,144.48,11.87,1162
11/23/18 21:58,,305.95,144.45,11.91,1157
11/23/18 21:58,,305.9,144.57,11.93,1150
11/23/18 21:58,,305.71,144.63,11.94,1141
11/23/18 21:58,,305.54,144.72,11.95,1121
11/23/18 21:58,,305.48,144.72,11.95,1114
11/23/18 21:58,,305.28,144.69,11.95,1114
11/23/18 21:58,,305.16,144.66,11.95,1109
11/23/18 21:58,,305.05,144.57,11.96,1101
11/23/18 21:58,,304.91,144.58,11.98,1095
11/23/18 21:58,,304.79,144.68,11.99,1084
11/23/18 21:58,,304.5,144.66,11.99,1079
11/23/18 21:58,,304.46,144.66,11.99,1079
11/23/18 21:58,,304.26,144.64,12.01,1076
11/23/18 21:57,,304.16,144.67,12.05,1069
11/23/18 21:57,,304.02,144.86,12.08,1065
11/23/18 21:57,,303.77,144.94,12.11,1061
11/23/18 21:57,,303.58,144.98,12.16,1055
11/23/18 21:57,,303.5,145.34,12.2,1050
11/23/18 21:57,,303.4,145.54,12.26,1043
11/23/18 21:57,,303.29,145.83,12.3,1039
11/23/18 21:57,,303.14,146.04,12.36,1039
11/23/18 21:57,,302.91,146.1,12.42,1038
11/23/18 21:57,,302.7,146.67,12.45,1038
11/23/18 21:57,,302.53,146.79,12.49,1038
11/23/18 21:57,,302.41,146.99,12.56,1038
11/23/18 21:57,,302.26,147.37,12.73,1038
11/23/18 21:57,,301.99,147.81,12.76,1040
11/23/18 21:57,,301.88,148.52,12.77,1041
11/23/18 21:57,,301.76,148.53,12.79,1045
11/23/18 21:57,,301.68,148.58,12.81,1045
11/23/18 21:57,,301.38,148.65,12.89,1049
11/23/18 21:57,,301.34,148.82,12.94,1060
11/23/18 21:57,,301.2,149.3,12.98,1068
11/23/18 21:57,,301.03,149.5,13.02,1079
11/23/18 21:57,,300.86,149.76,13.1,1105
11/23/18 21:57,,300.62,150.18,13.13,1105
11/23/18 21:57,,300.62,150.36,13.13,1122
11/23/18 21:57,,300.26,150.31,13.13,1135
11/23/18 21:57,,300.12,150.26,13.13,1143
11/23/18 21:57,,300.01,150.22,13.13,1143
11/23/18 21:56,,299.68,150.24,13.23,1143
11/23/18 21:56,,299.53,150.38,13.38,1143
11/23/18 21:56,,299.41,151.56,13.58,1139
11/23/18 21:56,,299.22,152.77,13.73,1128
11/23/18 21:56,,299.16,153.69,13.74,1094
11/23/18 21:56,,298.87,153.69,13.69,1070
11/23/18 21:56,,298.7,153.57,13.65,1041
11/23/18 21:56,,298.6,153.02,13.65,1018
11/23/18 21:56,,298.41,152.97,13.65,998
11/23/18 21:56,,298.31,152.94,13.68,993
11/23/18 21:56,,297.97,153.09,13.81,993
11/23/18 21:56,,297.82,153.45,13.91,993
